,date,score,review
13,2024.06.12,5,록티 첫공보고 시카고 경력직(?) 분들이 많이 계셔서 그런지 프리뷰 공연이라고는 생각 할수 없을 만큼 안정적인 공연이었습니다.  이번주에 록티 보러 또 갈 예정입니다. 스릉흔드 파니얌 
14,2024.06.08,5,이게 뮤지컬이지 라는 느낌을 받았어요
30,2024.06.16,5,"신시는 아기와 나 박제 다른 말 안하겠습니다. 후기 보시는 ""시카고 볼까?"" 고민하시는 분들? 그냥 보러가시면 됩니다. 신시는 아기와 나 박제를 내놓으시면 되고요(제발요 무릎꿇고 빌게요 제발) 유튜브로 공개된 박제나 SNS 반응만 보고 누가 낫다던데 영상은 누가 낫던데 하지 말고 직접 보셔요들 모든 배우님 빠짐없이 모자람 없이 다들 잘하시니 진짜로 그냥 입맛 따라 잡은 자리 따라 가시면 돼요. 저는 지금 통장만 넉넉했으면 전관을 뛰었을겁니다... 죽으면 디큐브에 상주하는 망령이 되고싶어요 꼭 보세요 꼭!!!!"
31,2024.06.16,3,기대감 한가득 하지만... 뮤지컬 인데...음향 사운드가 너무 별로에요 ㅠㅠ심지어 배우 노래 소리도 잘 안 들렸다...대사 모니터가 따로 필요했어요 ㅠㅠ너무 기대했는데... 심지어 앞줄인데도 잘 안 들렸어요..최재림 배우님의 목소리도 살짝 컨디션 안 좋아 보이고배우들 연기로 어찌저찌 봤다만 ㅠㅠ 너무 실망스럽다 ...
32,2024.06.08,5,시카고 두 번 보세요 아니 세 번 보세요.. 미친거 아닙니까.. 플뷰때부터 배우님들 이렇게 잘 하시면 뒤로 가는 공연들은 어쩌시려구..정선아 민경아 두 배우님 다 엄청나요.. 표현을이렇게 밖에 못하겠으니 가서 직접 확인해보시길..
33,2024.06.17,5,"정말 완벽한  딱 오늘이 처음으로 뮤지컬을 본지 1년이 된 날이에요기념으로 어떤 뮤지컬을 볼지 고민하다가 제가 뮤지컬에 관심을 가질 수 있게 해준 시카고를 선택했습니다부산에서 서울로 올라가는 내내 너무 기대돼서 잠도 못잤어요캐스팅은록시 역에 티파니 영 배우님벨마 역에 정선아 배우님빌리 역에 박건형 배우님마마 역에 김경선 배우님 이었어요록시벨마 두 분은 정말 영화 시카고에 나오는 록시벨마 같았어요연기도 너무 잘 하시고 노래는 더 대박이었습니다티파니 영 배우님 대사톤이 너무 좋았어요연기도 너무 잘 하셔서 배우가 아닌 그 캐릭터가 보였습니다너무너무 인상적이었어요 특히 아기와나 넘버에서 매력이 대박입니다대체 왜 까인건지 이해가 안갈정도로 완벽한 록시였습니다정선아 배우님은 말해뭐해죠중간중간 웃포 너무 잘 살려주시고등근육이 정말정말 인상깊었어요그리고 생각했던거 보다 더 벨마에 잘 어울리셨습니다박건형 배우님은 영상과 완전 달랐습니다연습실 영상 보고 솔직히 조금 걱정했거든요..근데 와 진짜 대박이었어요영상에는 현장감이 그 울림이 전혀 안느껴져서 별로였던거 같아요현장에서는 진짜 대박이었습니다넘버도 너무 잘 하시고 연기도 엄청 좋았어요경선 배우님은 정말… 대박입니다…..경선마마는 신이에요,,,,,,시카고 진짜 너무 재밌고최고입니다 이번시즌 회전문 빙글뱅글 돌거 같아요??"
34,2024.06.16,5,"볼까 말까 고 그냥 조용히 자리 잡으세요 어제 공연 봤는데 와...... 보는 내내 입 벌리고 봤어요 진짜 완전 재밌고 같이 춤추고 싶었어요 저는 베우님들을 보고 온 게 아니라 벨마 캘리와 록시 하트, 빌리 플린 그 자체를 보고 온 거라고 생각해요 끝으로 갈수록 지루할 법도 한데 진짜 하나도 안 지루했고요 배고픈 것도 몰랐어요 예술을 먹었거든요 시카고는 유명한 넘버 뿐만이 아니라 모든 넘버가 완벽했고 연기를 너무 잘 하셔서 뭐가 애드리브인 줄도 모르고 즐겁게 봤어요 심지어 배우님들 너무 잘 생기시고 예쁘셔서 현실인지 꿈인지 눈 비비면서 봤네요 윤공주님 민경아님 최재림님 진짜 너무 감사하고 사랑해요♡ㅜㅜ♡"
35,2024.06.30,5,윤공주님 인사이드아웃 기쁨이 같 윤공주님 다시 벨마로 돌아와주셔서 감사합니다.그나저나 저번 시즌과 헤어스타일이 바뀌셨더라구요.저번 시즌 그 똑단발(?)보다 이번 시즌 숏컷이 더 잘 어울리시는 것 같아요!얼마 전에 보았던 영화 인사이드아웃2 기쁨이 자꾸 생각나서 몰입이 가끔씩 깨지긴 했어요ㅋㅋㅋㅋ암튼 시카고 짱! 또 예매해서 또 보러 가야되는데...티케팅이 너무 빡세져서 티켓을 또 구할 수 있을런지...
36,2024.06.22,5,"티파니영 <아기와 나> 죽기전 -잘봐요~아기와~~나!!!!>_< 이거 정말 다들 기억에 남는다고 하는 노래다.....!  -없는 아기를 임신했다고 뻥치는 관종 록시 시종일관 제리처럼 뿌듯하고 앙증맞은 표정으로 춤추면서 돌아다니는데ㅋㅋㅋㅋ 아직도 생각나  -괜히 3대 뮤지컬이 아니다. 한두명 실력이 밀리는 배우가 있으면 눈에 확 띄기 마련인데 가히 출연진들이 탑급이었다. 앙상블부터 주조연까지 최고였다.  웬만해선 실망할 포인트를 찾을 수 가 없었다. (티파니영 윤공주님 미침)  -롹시마다 해석이 조금씩 다르니 주연별로 취향 찾아 시카고 감상해보는 것을 추천!!! 티파니는 노래도 잘했고 성량도 짱짱하고 좋음. 사랑스러운 맛이 팍팍 돋아나는 롹시다. 굳이 롹시들끼리 비교해 고르신다면 그건 선호하는 롹시의 똘끼과 feel이 다른 것일 뿐. 넘버 부를때는 다 비슷해 ~!   -롹시랑 벨마역할은 춤을 진짜 잘춰야됀다. 말해 모하냐    -앙상블 배우들 몸이 바디빌딩 대회,서커스 나가도 되는 수준이다. 그 자체로 압도되어 침을 주르륵... "
37,2024.06.15,4,음...  오늘 재림배우님 컨디션 많이 안좋으셨던듯..딸이랑 기자회견씬 엄청 기대하고 있었는데 아쉬웠음. 빌리에 아직 안붙는 느낌.. 초반이라 그런지 저녁공이었는데도 마치 아침에 하는 공연 보듯이 텐션이 안오름.. 무엇보다 마이크 음량이 작아서 민경아 배우님 계속 속삭이듯 들리고... 마이크좀 키워주세요!! 소리가 꽉 차지 않음.공주 배우님이랑 앙상블 배우님들 멋지심. 민경아 록시는 머머리 꽃밭 그 자체였고.. (내가 생각한 록시느낌보다는 좀 가볍고 귀여운..)전체적으로 좀 아쉬웠음. 작년 내한공연 보길 잘한듯.. (다음부턴 프리뷰나 너무 초반 공연은 피해야겠다....)
38,2024.06.09,5," 19년에 한번 영화 각색판을 봤는데 줄거리는 잘 기억이 안나는데 별점 4점 맞았고 뮤지컬은 보기 전에 한 번 더 찍었는데 보고 바로 별점 5점으로 바꿨어 역시 오스카!라이브 뮤지컬을 처음 봐서 노래와 춤이 포인트인 줄 알았는데 배경 전체가 악단, 색소폰, 드럼, 트럼펫, 지휘......음악과 함께 소름이 계속 끼쳐서 거의 입을 벌리고 다 봤어요??티파니를 위해 왔는데 캐릭터에 다 꽂혔네요!배우분마다 음색이 좋고 투과력이 너무 강해서 특히 우리 파니의 꿀보이스는 달달하지만 상큼하고 민트에이드 느낌~한국판이 청감결과에 영향을 주지 않을까 생각이 많이 들고 현지화 된 언어처리도 많이 했습니다.남녀 배우 모두 탄탄한 보디라인에 탄탄한 캐릭터와 긴장감 넘치는 연기가 너무 좋았습니다."
39,2024.06.23,5,티 티파니의 록시는 정말 사랑스럽고 순수하고 본능에 충실하네요 얼핏 록시를 싸패로 생각하기 쉽지만 극 내용을 생각하면 전혀 아니죠살인은 우발적 충동적이었고 록시는 죄책감도 모르는 존재가 아니에요 기자들이 죄책감을 추궁하니 장난하냐고 화내잖아요 단지 죄책감보단 스타되고싶은 욕망이 크고 본능이 앞서는 인물인데 그 욕망은 애정결핍에서 옵니다자길 버리려던 프레드를 죽인 것이나 애초에 별볼일없는 에이모스와 결혼할만큼 결핍을 채우는건 록시의 중요한 동기인데 티파니가 이점을 잘 포착해서 사랑을 갈망하는 록시를 보여준것 같아요그런 록시를 만들어왔기 때문에 시카고는 본능에 더 충실한 작품이 됐고 관객은 록시와 벨마의 해피엔딩에 박수갈채를 보내게 됩니다 화려한 쇼비즈니스에 가려진 진실에 대한 생각은 머릿속에 남고 가슴엔 해방감이 남아요티파니의 보컬도 상당히 인상적인데 금관악기 위주의  오케스트라와 잘 어울리는 음색이고 반주를 뚫고나오는 힘도 있어요 무엇보다 재즈감성을 잘 살려서 노래하네요두 시간동안 재즈와 댄스 그리고 누구나 공감할법한 본능의 향연을 만끽했습니다 이 기분 좋은 관람 경험이 오늘도 평범한 일상을 살아갈 힘을 주겠죠
40,2024.06.09,5,정선아 민경아 정선아 배우는 첫공이라는 게 믿기지 않을 만큼 빼어난 실력을 보여주었고 두 주연의 케미도 정말 좋았습니다.
41,2024.06.15,4,"그럭저럭 최재림님은 기대했던것보다 컨디션 안좋으셨던건지 포텐터지는건 없었고, 그냥 항상 하던연기하는 느낌, 민경아님은 연기는 좋았으나 음색이 록시랑 안어울리는 느낌? 내한을 봐서그런가 내한을 따라잡지 못함.. 최정원님은 연기 노래 다 좋았으나 춤이 부족함.. 록시 벨마 둘다 춤 진짜 별로였음. 그리고 기자역할 너무 여자처럼 하려다보니 딕션 다 뭉게져서 뭐라는건지 모르겠음. 중성적이지도않음.. 앙상블은 좋았어요. 디큐브도 첨왔는데 음향좋고 단차도 뭐 그럭저럭? 나쁘지않았음"
42,2024.06.09,2, 작년 오리지널팀 내한공연보고 어제 티파니 록시와 다른 주연들을 봤는데요학예회 같았습니다조연출연자 분들이 주연같았어요보다가 정말 졸았습니다..
43,2024.06.08,5,최 아이비님과 윤공주님의 합이 너무 잘맞았고 최재림님도 너무너무 훌륭하셨어요 무엇보다 앙상블분들한테 너무너무 놀랐어요!! 뭐 하나 흠잡을 데 없는 최고의 뮤지컬이었습니다ㅠㅠ???? 
44,2024.06.23,5,엘든링을 포기하고 봤는데 아깝지  주말 엘든링dlc를 포기하고 투덜대며 갔으나 보고나니후회 없을정도로 잘 봤습니다.
